Count,Name
3603,print
3105,InterfaceOptions_AddCategory
2069,PanelTemplates_TabResize
2001,PanelTemplates_DeselectTab
1993,PanelTemplates_SelectTab
1990,SetDesaturation
1968,StaticPopup_Show
1951,PanelTemplates_SetDisabledTabState
1899,CloseSpecialWindows
1866,InterfaceOptionsFrame_OpenToCategory
1356,UIDropDownMenu_AddButton
1300,ShowUIPanel
1283,HideUIPanel
1268,ChatEdit_InsertLink
1187,GetCVar
1098,ReloadUI
971,UIDropDownMenu_Initialize
953,getglobal
919,UIDropDownMenu_CreateInfo
853,SetCVar
841,ToggleDropDownMenu
690,UIDropDownMenu_SetWidth
636,FauxScrollFrame_GetOffset
619,GetUnitName
599,FauxScrollFrame_Update
595,GameTooltip_SetDefaultAnchor
578,ChatFrame_AddMessageEventFilter
577,FauxScrollFrame_OnVerticalScroll
566,CloseDropDownMenus
551,UIDropDownMenu_SetText
514,Mixin
490,GameTooltip_Hide
484,tContains
461,CopyTable
390,GetCVarBool
387,StaticPopup_Hide
381,CreateFromMixins
343,EasyMenu
318,UIDropDownMenu_SetSelectedValue
311,MouseIsOver
300,SecondsToTime
287,RaidNotice_AddMessage
281,ChatEdit_GetActiveWindow
276,CooldownFrame_Set
266,PanelTemplates_SetTab
258,RegisterStateDriver
254,SetItemRef
248,UIDropDownMenu_JustifyText
247,CloseMenus
247,UIDropDownMenu_SetSelectedID
237,CreateFramePool
236,HybridScrollFrame_GetOffset
234,PanelTemplates_SetNumTabs
233,tostringall
230,CreateVector2D
220,UIFrameFadeOut
213,UIParentLoadAddOn
205,GetQuestDifficultyColor
200,UIFrameFadeIn
187,CreateColor
187,GetClassColor
186,InterfaceOptionsFrame_Show
184,HybridScrollFrame_Update
183,GameTooltip_SetTitle
181,message
180,ChatFrame_OpenChat
180,ToggleCharacter
174,UIDropDownMenu_SetButtonWidth
166,AuraUtil.FindAuraByName
166,ToggleFrame
164,HandleModifiedItemClick
160,HybridScrollFrame_CreateButtons
159,GameTooltip_AddColoredLine
158,class
157,ChatEdit_ActivateChat
157,SetRaidTargetIconTexture
156,RegisterUnitWatch
155,DressUpItemLink
155,GameTooltip_AddNormalLine
151,ChatEdit_ChooseBoxForSend
146,ChatFrame_RemoveMessageEventFilter
145,CombatText_AddMessage
142,SetItemButtonTexture
140,GameTooltip_ShowCompareItem
135,AnimateTexCoords
132,AutoCompleteEditBox_OnTextChanged
132,GetMoneyString
132,OpenColorPicker
132,ScrollingEdit_OnCursorChanged
132,UIDropDownMenu_GetSelectedValue
131,GameTooltip_AddInstructionLine
129,IsSecureCmd
129,MoneyFrame_Update
129,UnregisterUnitWatch
125,AutoCompleteEditBox_OnEnterPressed
125,tDeleteItem
122,ChatFrame_OnHyperlinkShow
122,ChatFrame_SendTell
121,ActionButton_HideOverlayGlow
118,SetItemButtonTextureVertexColor
116,FauxScrollFrame_SetOffset
113,Round
113,UnitFrame_OnEnter
112,StaticPopup_EscapePressed
111,ToggleAllBags
111,UnregisterStateDriver
109,SetTooltipMoney
109,UIDropDownMenu_EnableDropDown
108,CombatText_StandardScroll
108,UnitFrame_OnLeave
107,ToggleFriendsFrame
106,GetItemInfoFromHyperlink
106,OpenAllBags
105,ScrollFrameTemplate_OnMouseWheel
104,Clamp
103,ActionButton_ShowOverlayGlow
103,SetClampedTextureRotation
103,SetItemButtonCount
103,UIDropDownMenu_DisableDropDown
103,UIDropDownMenu_InitializeHelper
102,ChatEdit_CustomTabPressed
102,PanelTemplates_GetSelectedTab
102,ScrollingEdit_OnUpdate
101,DevTools_Dump
101,StaticPopup_SetUpPosition
100,SecureButton_GetUnit
99,RegisterAttributeDriver
99,StaticPopup_OnHide
96,CursorUpdate
95,BattlePetToolTip_Show
95,ChatEdit_SendText
95,InterfaceAddOnsList_Update
95,UnitPopup_ShowMenu
95,WrapTextInColorCode
93,FramePool_HideAndClearAnchors
93,SecureHandlerSetFrameRef
91,CreateTexturePool
91,UIDropDownMenu_AddSeparator
89,nop
87,SecureButton_GetModifiedUnit
86,ExecuteFrameScript
86,FCF_OpenTemporaryWindow
84,CloseAllBags
84,FCF_StartAlertFlash
84,HideDropDownMenu
83,ScrollingEdit_OnTextChanged
82,GetValueOrCallFunction
81,GetAppropriateTooltip
81,GetTexCoordsForRoleSmallCircle
80,Arena_LoadUI
80,EditBox_ClearFocus
80,Minimap_OnClick
80,ToggleGuildFrame
79,EquipmentManager_UnpackLocation
79,ToggleAchievementFrame
77,ContainerFrame_Update
77,UIDropDownMenu_HandleGlobalMouseEvent
76,SetItemButtonDesaturated
75,ChatEdit_FocusActiveWindow
75,FCF_SavePositionAndDimensions
75,Minimap_ZoomIn
75,Minimap_ZoomOut
75,setglobal
74,FCF_SetLocked
74,ToggleCollectionsJournal
73,AutoCastShine_AutoCastStart
73,ChatEdit_UpdateHeader
73,UnitFrameHealthBar_Update
72,ChatFrame_AddChannel
72,ShowInspectCursor
72,UIDropDownMenu_GetSelectedID
72,UIDropDownMenu_GetText
71,HealthBar_OnValueChanged
71,SearchBoxTemplate_OnTextChanged
70,FCF_GetCurrentChatFrame
69,AutoCastShine_AutoCastStop
69,Lerp
69,ObjectiveTracker_Update
69,PanelTemplates_Tab_OnClick
69,ToggleHelpFrame
68,CompactUnitFrame_UpdateName
68,FrameStackTooltip_Toggle
68,ScrollFrame_OnLoad
67,ActionButton_UpdateFlyout
66,FCF_SetChatWindowFontSize
66,FloatingChatFrame_OnMouseScroll
66,PanelTemplates_UpdateTabs
66,ToggleBackpack
66,ToggleBag
64,BankFrameItemButton_Update
63,FCF_GetChatWindowInfo
62,FCF_StopAlertFlash
62,MoneyFrame_SetType
62,StaticPopup_Visible
61,CastingBarFrame_OnLoad
61,ContainerFrameItemButton_OnModifiedClick
61,SpellBook_GetSpellBookSlot
60,CursorOnUpdate
60,FCF_SetWindowName
60,UIParent_ManageFramePositions
59,AchievementFrame_LoadUI
59,FCF_DockFrame
59,ToggleWorldMap
59,UIFrameFlash
58,CreateAtlasMarkup
58,GetCreatureDifficultyColor
57,AbbreviateLargeNumbers
57,CreateTextureMarkup
57,UpdateMicroButtons
56,CastingBarFrame_SetUnit
56,ObjectiveTracker_Collapse
56,SecondsToTimeAbbrev
56,ToggleCalendar
56,UnitWatchRegistered
55,FCF_OpenNewWindow
55,GetBindingFromClick
55,UIDropDownMenuButton_OpenColorPicker
54,ChatFrame_RemoveAllMessageGroups
54,HelpPlate_Hide
54,HelpPlate_IsShowing
53,HelpPlate_Show
53,OpenBackpack
53,TalentFrame_LoadUI
53,TalkingHeadFrame_PlayCurrent
53,UnitPopup_OnClick
52,BlizzardOptionsPanel_Slider_Enable
52,GetLFGMode
52,WhoList_Update
51,AuraUtil.FindAura
51,QuestInfo_Display
50,UIDropDownMenu_Refresh
49,ChatFrame_RemoveChannel
49,HideParentPanel
49,MerchantItemButton_OnModifiedClick
49,ObjectiveTracker_Expand
49,OpenBag
48,GetTexCoordsForRole
48,MerchantFrame_UpdateMerchantInfo
48,ReputationFrame_Update
48,ToggleQuestLog
48,UIDropDownMenu_SetAnchor
48,UIDropDownMenu_SetSelectedName
47,ChatFrame_AddMessageGroup
47,FCFDock_GetSelectedWindow
47,FCF_DockUpdate
47,FormatLargeNumber
47,PVEFrame_ToggleFrame
47,SmallMoneyFrame_OnLoad
47,ToggleEncounterJournal
47,ToggleTalentFrame
47,UIFrameFade
46,ButtonFrameTemplate_HideButtonBar
46,FriendsFrame_Update
