Count,Name
2833,GameTooltip
2219,UIParent
2183,ColorPickerFrame
856,WorldFrame
705,InterfaceOptionsFrame
637,UIErrorsFrame
595,ItemRefTooltip
592,WorldMapFrame
534,ChatFrame1
350,PlayerFrame
324,TargetFrame
292,MerchantFrame
291,GameMenuFrame
261,DropDownList1
260,CastingBarFrame
242,RaidWarningFrame
242,ShoppingTooltip1
225,MinimapCluster
222,BuffFrame
216,ObjectiveTrackerFrame
209,ShoppingTooltip2
198,FocusFrame
192,MainMenuBar
177,ChatFrame1EditBox
170,SpellBookFrame
162,BankFrame
159,CharacterFrame
158,CompactRaidFrameManager
156,FriendsFrame
149,ChatFrameMenuButton
143,QuickJoinToastButton
138,LootFrame
134,MultiBarLeft
134,QuestFrame
133,BattlePetTooltip
129,MailFrame
123,AlertFrame
120,ComboFrame
118,ItemRefShoppingTooltip1
118,ItemRefShoppingTooltip2
114,PetCastingBarFrame
113,NamePlateDriverFrame
113,PlayerPowerBarAlt
110,SpellFlyout
108,ChatFrameChannelButton
108,TemporaryEnchantFrame
105,ChatFrame2
101,ZoneAbilityFrame
100,GossipFrame
95,ExtraActionBarFrame
92,VideoOptionsFrame
90,BNToastFrame
90,DurabilityFrame
90,StackSplitFrame
90,TradeFrame
89,PVEFrame
85,ContainerFrame1
85,DressUpFrame
85,OverrideActionBar
85,PetBattleFrame
79,ChatFrame3
79,RaidBossEmoteFrame
76,MovieFrame
74,StaticPopup1
72,FloatingBattlePetTooltip
69,AddonList
69,QuestLogPopupDetailFrame
67,QueueStatusFrame
67,VehicleSeatIndicator
66,ChatConfigFrame
65,ChatFrameToggleVoiceDeafenButton
65,OpenMailFrame
64,ChatFrameToggleVoiceMuteButton
63,QuestInfoRewardsFrame
63,TaxiFrame
63,UIWidgetTopCenterContainerFrame
62,GeneralDockManager
61,EmbeddedItemTooltip
59,QuestInfoFrame
58,PartyMemberFrame1
55,ZoneTextFrame
52,CinematicFrame
52,LFGListApplicationDialog
50,ItemTextFrame
50,ReadyCheckFrame
49,ChannelFrame
48,BonusRollFrame
48,PVPReadyDialog
48,PetBattlePrimaryAbilityTooltip
47,ChatFrame4
47,ChatMenu
46,ScriptErrorsFrame
45,GarrisonFollowerTooltip
44,LFGListInviteDialog
43,FloatingGarrisonFollowerTooltip
43,LossOfControlFrame
41,TicketStatusFrame
41,TimerTracker
40,SideDressUpFrame
39,AutoCompleteBox
39,HelpFrame
39,MasterLooterFrame
39,PartyMemberFrame2
39,PartyMemberFrame3
39,PartyMemberFrame4
38,BossBanner
38,GarrisonFollowerAbilityTooltip
37,GroupLootContainer
37,PetitionFrame
37,SubZoneTextFrame
36,ExtraAbilityContainer
36,PetBattlePrimaryUnitTooltip
36,PetStableFrame
35,FloatingPetBattleAbilityTooltip
34,GhostFrame
34,MapQuestInfoRewardsFrame
