Count,Name
2737,string.find
2620,floor
2538,string.format
2519,tonumber
2518,string.lower
2502,math.floor
2314,table.sort
2234,string.sub
2218,table.insert
2181,strmatch
2171,tostring
2121,next
2114,string.gsub
2103,ipairs
2101,max
2083,string.split
2063,string.match
2061,ceil
2058,strsplit
2040,format
2015,min
2003,setmetatable
1985,table.remove
1966,wipe
1921,tinsert
1883,string.trim
1802,type
1729,pcall
1675,select
1613,table.concat
1568,string.len
1563,getmetatable
1548,bit.band
1522,unpack
1501,error
1501,pairs
1450,math.max
1430,assert
1407,table.wipe
1402,getfenv
1389,math.min
1353,math.atan2
1326,math.abs
1318,loadstring
1315,rawset
1300,time
1291,math.sin
1274,tremove
1268,math.cos
1262,string.gmatch
1239,string.upper
1216,math.deg
1159,date
1156,gsub
1130,math.rad
1081,rawget
1033,strsub
1020,xpcall
990,math.ceil
971,math.sqrt
954,strfind
927,strlen
911,math.random
866,string.byte
785,string.char
769,strlower
650,strtrim
617,table.getn
594,abs
559,mod
545,math.frexp
525,sort
478,collectgarbage
457,random
457,strupper
415,strjoin
406,bit.bor
400,math.modf
379,math.fmod
324,string.rep
279,setfenv
269,cos
267,sin
251,string.join
250,bit.lshift
244,bit.rshift
227,bit.bxor
197,getn
196,math.pow
184,sqrt
179,bit.bnot
169,coroutine.yield
152,gmatch
146,coroutine.resume
135,strbyte
130,coroutine.create
129,table.foreach
107,strrep
105,coroutine.status
90,strchar
87,gcinfo
85,table.maxn
84,difftime
78,strlenutf8
65,math.log
63,strconcat
58,coroutine.wrap
54,newproxy
53,math.atan
51,math.ldexp
50,fastrandom
45,coroutine.running
39,atan2
31,string.reverse
30,rawequal
27,bit.mod
26,math.asin
26,strcmputf8i
25,foreach
24,rad
22,math.log10
19,atan
19,math.exp
16,log
15,strrev
13,tan
12,deg
12,frexp
11,math.acos
9,log10
9,string.gfind
7,exp
6,bit.arshift
6,ldexp
6,math.tan
5,acos
4,asin
4,foreachi
3,math.tanh
3,table.foreachi
3,table.removemulti
3,table.setn
1,math.cosh
1,math.sinh
1,strsplittable
